DATE,,Delt.G7
1/1/2002,0.891158734,0.005211292
4/1/2002,0.89668326,0.006199261
7/1/2002,0.90104594,0.004865352
10/1/2002,0.902502891,0.001616955
1/1/2003,0.903763178,0.001396436
4/1/2003,0.91037551,0.007316444
7/1/2003,0.920502038,0.011123462
10/1/2003,0.929613283,0.009898126
1/1/2004,0.935130162,0.005934596
4/1/2004,0.94049283,0.005734676
7/1/2004,0.94563712,0.005469781
10/1/2004,0.950406405,0.005043462
1/1/2005,0.956646879,0.00656611
4/1/2005,0.963646796,0.007317138
7/1/2005,0.970675253,0.007293602
10/1/2005,0.976013005,0.005499009
1/1/2006,0.985056059,0.009265301
4/1/2006,0.990090232,0.005110545
7/1/2006,0.99204654,0.001975889
10/1/2006,1.001105203,0.009131288
1/1/2007,1.004986378,0.00387689
4/1/2007,1.011508343,0.006489606
7/1/2007,1.016932855,0.005362795
10/1/2007,1.020470746,0.003478982
1/1/2008,1.019833011,-0.000624942
4/1/2008,1.018980704,-0.000835732
7/1/2008,1.012590578,-0.006271095
10/1/2008,0.990552739,-0.02176382
1/1/2009,0.967548205,-0.023223937
4/1/2009,0.968678022,0.001167712
7/1/2009,0.971636576,0.003054218
10/1/2009,0.98096752,0.009603328
1/1/2010,0.987156862,0.006309426
4/1/2010,0.997288025,0.010262971
7/1/2010,1.004789618,0.007521992
10/1/2010,1.009314829,0.004503641
1/1/2011,1.008154576,-0.001149546
4/1/2011,1.011301691,0.00312166
7/1/2011,1.018291284,0.006911482
10/1/2011,1.024615509,0.006210625
1/1/2012,1.030917551,0.006150641
4/1/2012,1.030885076,-3.15018E-05
7/1/2012,1.034195731,0.003211469
10/1/2012,1.033122023,-0.001038206
1/1/2013,1.036580065,0.003347177
4/1/2013,1.042882255,0.006079791
7/1/2013,1.049872518,0.00670283
10/1/2013,1.054863077,0.004753491
